Prompt_ID;Metric;Method;Source_0;Source_1;Source_2;Source_3;Source_4;Target_Index;User Prompt;Focus Topic;Journey Phase;Persona;Target_Score;Other_Score;Comp_1_Score;Comp_2_Score;Comp_3_Score;Comp_4_Score
1;Absolute Wordcount;Average Baseline;0.6016212560386474;0.19869299516908212;0.16103840579710146;0.03864734299516905;0.0;3;Analyze the total cost of ownership (TCO) and return on investment (ROI) of our existing data storage solutions, and provide recommendations for future upgrades or replacements;Data Storage;Post-Purchase Use;External Consultant;0.03864734299516905;0.24033816425120771;0.6016212560386474;0.19869299516908212;0.16103840579710146;0.0
1;BLEU Score;Average Baseline;0.00045;0.0014;0.0039;0.00505;0.0;3;Analyze the total cost of ownership (TCO) and return on investment (ROI) of our existing data storage solutions, and provide recommendations for future upgrades or replacements;Data Storage;Post-Purchase Use;External Consultant;0.00505;0.0014375;0.00045;0.0014;0.0039;0.0
1;Chat Cite;Average Baseline;1.0;1.0;1.0;0.5;0.0;3;Analyze the total cost of ownership (TCO) and return on investment (ROI) of our existing data storage solutions, and provide recommendations for future upgrades or replacements;Data Storage;Post-Purchase Use;External Consultant;0.5;0.75;1.0;1.0;1.0;0.0
1;GEval Overall;Average Baseline;2.3314357142857145;2.2887714285714287;2.2031;2.0654;2.0046999999999997;3;Analyze the total cost of ownership (TCO) and return on investment (ROI) of our existing data storage solutions, and provide recommendations for future upgrades or replacements;Data Storage;Post-Purchase Use;External Consultant;2.0654;2.2070017857142856;2.3314357142857145;2.2887714285714287;2.2031;2.0046999999999997
1;Length Ratio;Average Baseline;0.1704;0.2175;0.2883;0.28159999999999996;0.65895;3;Analyze the total cost of ownership (TCO) and return on investment (ROI) of our existing data storage solutions, and provide recommendations for future upgrades or replacements;Data Storage;Post-Purchase Use;External Consultant;0.28159999999999996;0.3337875;0.1704;0.2175;0.2883;0.65895
1;Perplexity;Average Baseline;-14.101;-10.2547;-8.353;-9.2386;-15.2293;3;Analyze the total cost of ownership (TCO) and return on investment (ROI) of our existing data storage solutions, and provide recommendations for future upgrades or replacements;Data Storage;Post-Purchase Use;External Consultant;-9.2386;-11.9845;-14.101;-10.2547;-8.353;-15.2293
1;Position Adjusted Sentence Count;Average Baseline;4.6379;1.60835;0.9113;0.20555;0.0;3;Analyze the total cost of ownership (TCO) and return on investment (ROI) of our existing data storage solutions, and provide recommendations for future upgrades or replacements;Data Storage;Post-Purchase Use;External Consultant;0.20555;1.7893875000000001;4.6379;1.60835;0.9113;0.0
1;Position Adjusted Wordcount;Average Baseline;0.6470701698821302;0.20756002164123902;0.1191250182937096;0.0262447901829211;0.0;3;Analyze the total cost of ownership (TCO) and return on investment (ROI) of our existing data storage solutions, and provide recommendations for future upgrades or replacements;Data Storage;Post-Purchase Use;External Consultant;0.0262447901829211;0.24343880245426971;0.6470701698821302;0.20756002164123902;0.1191250182937096;0.0
1;ROUGE-L Recall;Average Baseline;0.05785;0.06684999999999999;0.07350000000000001;0.06645000000000001;0.10565;3;Analyze the total cost of ownership (TCO) and return on investment (ROI) of our existing data storage solutions, and provide recommendations for future upgrades or replacements;Data Storage;Post-Purchase Use;External Consultant;0.06645000000000001;0.0759625;0.05785;0.06684999999999999;0.07350000000000001;0.10565
1;RVS Sentiment;Average Baseline;1.5110000000000001;10.969750000000001;4.6419999999999995;1.5678;0.0;3;Analyze the total cost of ownership (TCO) and return on investment (ROI) of our existing data storage solutions, and provide recommendations for future upgrades or replacements;Data Storage;Post-Purchase Use;External Consultant;1.5678;4.2806875;1.5110000000000001;10.969750000000001;4.6419999999999995;0.0
1;Sentence Cite;Average Baseline;7.0;2.5;2.0;0.5;0.0;3;Analyze the total cost of ownership (TCO) and return on investment (ROI) of our existing data storage solutions, and provide recommendations for future upgrades or replacements;Data Storage;Post-Purchase Use;External Consultant;0.5;2.875;7.0;2.5;2.0;0.0
2;Absolute Wordcount;Average Baseline;0.2450576923076923;0.2406730769230769;0.2205807692307692;0.0;0.2936884615384615;1;Categorize the various benefits and drawbacks of implementing a hybrid workplace model, including its impact on employee engagement, retention, and overall business outcomes;Hybrid Workplace;No-Funnel;External Consultant;0.2406730769230769;0.18983173076923077;0.2450576923076923;0.2205807692307692;0.0;0.2936884615384615
2;BLEU Score;Average Baseline;0.005;0.00075;0.0;0.0;0.0;1;Categorize the various benefits and drawbacks of implementing a hybrid workplace model, including its impact on employee engagement, retention, and overall business outcomes;Hybrid Workplace;No-Funnel;External Consultant;0.00075;0.00125;0.005;0.0;0.0;0.0
2;Chat Cite;Average Baseline;1.0;1.0;1.0;0.0;1.0;1;Categorize the various benefits and drawbacks of implementing a hybrid workplace model, including its impact on employee engagement, retention, and overall business outcomes;Hybrid Workplace;No-Funnel;External Consultant;1.0;0.75;1.0;1.0;0.0;1.0
2;GEval Overall;Average Baseline;2.3360785714285717;2.5060357142857144;2.3983499999999998;2.2441;2.476085714285714;1;Categorize the various benefits and drawbacks of implementing a hybrid workplace model, including its impact on employee engagement, retention, and overall business outcomes;Hybrid Workplace;No-Funnel;External Consultant;2.5060357142857144;2.3636535714285714;2.3360785714285717;2.3983499999999998;2.2441;2.476085714285714
2;Length Ratio;Average Baseline;0.33905;0.2083;0.045200000000000004;0.3146;0.05855;1;Categorize the various benefits and drawbacks of implementing a hybrid workplace model, including its impact on employee engagement, retention, and overall business outcomes;Hybrid Workplace;No-Funnel;External Consultant;0.2083;0.18935000000000002;0.33905;0.045200000000000004;0.3146;0.05855
2;Perplexity;Average Baseline;-12.5948;-11.6346;-7.3591;-10.8179;-5.3705;1;Categorize the various benefits and drawbacks of implementing a hybrid workplace model, including its impact on employee engagement, retention, and overall business outcomes;Hybrid Workplace;No-Funnel;External Consultant;-11.6346;-9.035575;-12.5948;-7.3591;-10.8179;-5.3705
2;Position Adjusted Sentence Count;Average Baseline;2.16195;1.97965;1.66995;0.0;2.0481000000000003;1;Categorize the various benefits and drawbacks of implementing a hybrid workplace model, including its impact on employee engagement, retention, and overall business outcomes;Hybrid Workplace;No-Funnel;External Consultant;1.97965;1.47;2.16195;1.66995;0.0;2.0481000000000003
2;Position Adjusted Wordcount;Average Baseline;0.2802469363431295;0.23073036139952324;0.24335454189130815;0.0;0.245668160366039;1;Categorize the various benefits and drawbacks of implementing a hybrid workplace model, including its impact on employee engagement, retention, and overall business outcomes;Hybrid Workplace;No-Funnel;External Consultant;0.23073036139952324;0.19231740965011918;0.2802469363431295;0.24335454189130815;0.0;0.245668160366039
2;ROUGE-L Recall;Average Baseline;0.0764;0.0572;0.016149999999999998;0.0718;0.02145;1;Categorize the various benefits and drawbacks of implementing a hybrid workplace model, including its impact on employee engagement, retention, and overall business outcomes;Hybrid Workplace;No-Funnel;External Consultant;0.0572;0.04645;0.0764;0.016149999999999998;0.0718;0.02145
2;RVS Sentiment;Average Baseline;24.1875;6.0957;7.12275;0.0;8.706199999999999;1;Categorize the various benefits and drawbacks of implementing a hybrid workplace model, including its impact on employee engagement, retention, and overall business outcomes;Hybrid Workplace;No-Funnel;External Consultant;6.0957;10.0041125;24.1875;7.12275;0.0;8.706199999999999
2;Sentence Cite;Average Baseline;3.5;3.5;2.5;0.0;4.0;1;Categorize the various benefits and drawbacks of implementing a hybrid workplace model, including its impact on employee engagement, retention, and overall business outcomes;Hybrid Workplace;No-Funnel;External Consultant;3.5;2.5;3.5;2.5;0.0;4.0
3;Absolute Wordcount;Average Baseline;0.20062721088435376;0.23698401360544213;0.188106462585034;0.22168673469387756;0.1525955782312925;0;Develop a comprehensive data storage strategy that takes into account emerging technologies such as NVMe and storage class memory;Data Storage;Awareness;External Consultant;0.20062721088435376;0.19984319727891153;0.23698401360544213;0.188106462585034;0.22168673469387756;0.1525955782312925
3;BLEU Score;Average Baseline;0.02225;0.0;0.01895;0.01275;0.0;0;Develop a comprehensive data storage strategy that takes into account emerging technologies such as NVMe and storage class memory;Data Storage;Awareness;External Consultant;0.02225;0.007925;0.0;0.01895;0.01275;0.0
3;Chat Cite;Average Baseline;1.0;1.0;1.0;1.0;1.0;0;Develop a comprehensive data storage strategy that takes into account emerging technologies such as NVMe and storage class memory;Data Storage;Awareness;External Consultant;1.0;1.0;1.0;1.0;1.0;1.0
3;GEval Overall;Average Baseline;2.575742857142857;2.8152285714285714;2.6054642857142856;2.5624642857142854;2.3754285714285714;0;Develop a comprehensive data storage strategy that takes into account emerging technologies such as NVMe and storage class memory;Data Storage;Awareness;External Consultant;2.575742857142857;2.5896464285714287;2.8152285714285714;2.6054642857142856;2.5624642857142854;2.3754285714285714
3;Length Ratio;Average Baseline;0.48815;0.67035;0.6804;0.40435;0.10815;0;Develop a comprehensive data storage strategy that takes into account emerging technologies such as NVMe and storage class memory;Data Storage;Awareness;External Consultant;0.48815;0.46581249999999996;0.67035;0.6804;0.40435;0.10815
3;Perplexity;Average Baseline;-6.8736;-12.2684;-6.3146;-4.6306;-10.3334;0;Develop a comprehensive data storage strategy that takes into account emerging technologies such as NVMe and storage class memory;Data Storage;Awareness;External Consultant;-6.8736;-8.38675;-12.2684;-6.3146;-4.6306;-10.3334
3;Position Adjusted Sentence Count;Average Baseline;1.6492499999999999;1.8059;1.59395;1.8793;1.01555;0;Develop a comprehensive data storage strategy that takes into account emerging technologies such as NVMe and storage class memory;Data Storage;Awareness;External Consultant;1.6492499999999999;1.5736750000000002;1.8059;1.59395;1.8793;1.01555
